contract,clause_text,label,predicted_label,confidence,filtered_prediction,low_confidence
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"In order to allow SC&W to expand the distribution system in Nevada with select and controlled subagents, an exclusive agency agreement will be negotiated which will spell out the terms and conditions of the relationship.",Exclusivity,Exclusivity,0.978038489818573,Exclusivity,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,In return for the exclusive appointment of Agency by MICOA to sell its professional liability products listed on the,Non-Compete,Exclusivity,0.9793373346328735,Exclusivity,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"In return for this payment, for a two-year period following the termination date, Agency will not directly or indirectly sell any professional liability insurance to any individuals or entities who were MICOA insureds in Nevada at the time of termination of this Agreement.",No-Solicit Of Customers,Insurance,0.9396392703056335,Insurance,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"In the event this Agreement is terminated for any reason, MICOA agrees to purchase from Agency, and Agency agrees to sell to MICOA Agency's ownership interest in the expirations for the MICOA insurance issued pursuant to this Agreement.",Post-Termination Services,Post-Termination Services,0.85801100730896,Post-Termination Services,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,MICOA,Parties,Parties,0.9967036843299866,Parties,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Mutual Insurance Corporation of America,Parties,Parties,0.996489942073822,Parties,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Repayment shall be through reduction of commissions due SC&W by 0.5% or if,Revenue/Profit Sharing,Revenue/Profit Sharing,0.9921369552612305,Revenue/Profit Sharing,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,SC&W exceeds $10.0 million in premium revenues by offset in the event any money is owed the Agency by MICOA. Such reduction or offset shall occur for so long as necessary to repay amounts reimbursed by MICOA during the two-year period of development; but in no event will repayment be collected for a period of greater than ten years.,Revenue/Profit Sharing,Revenue/Profit Sharing,0.9796155691146851,Revenue/Profit Sharing,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"Signed and effective this 25th day of May, 1999.",Effective Date,Effective Date,0.5336410999298096,LOW_CONFIDENCE,True
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"Stratton, Cheeseman & Walsh-Nevada, Inc.",Parties,Parties,0.9968783855438232,Parties,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"The Agency shall provide MICOA a copy of each policy; doing so on a regular and current basis shall be a precondition to all of Agency's rights under this Agreement, including but not limited to the payment of all earned commissions.",Insurance,Insurance,0.995701253414154,Insurance,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"The Agency will maintain valid errors and omissions insurance, with minimum limits of $1,000,000 per incident, and a fidelity and electronic crime policy through an insurer, both of which shall contain terms and limits of coverage acceptable to MICOA covering the Agency's solicitors and each of its employees.",Insurance,Insurance,0.9967703819274902,Insurance,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,This Agreement shall be interpreted under the laws of the State of Nevada.,Governing Law,Governing Law,0.9975177049636841,Governing Law,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"This Agreement shall terminate, subject to any automatic renewal or extension for one year as required by law, upon either party giving at least one hundred twenty (120) days advance written notice to the other, if not otherwise contrary to applicable law or this Agreement.",Notice Period To Terminate Renewal,Notice Period To Terminate Renewal,0.9839916825294495,Notice Period To Terminate Renewal,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"This agreement shall terminate: a. Automatically if any public authority cancels or declines to renew the Agency's license or Certificate of Authority. b. Immediately if either party gives detailed written notice to the other of alleged gross and willful misconduct, fraud or material misrepresentation.",Expiration Date,Expiration Date,0.4700782299041748,LOW_CONFIDENCE,True
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"attached Commission Schedule in Nevada, Agency agrees not to sell any competing professional liability products in Nevada, without the written consent of MICOA.",Non-Compete,Non-Compete,0.9716789126396179,Non-Compete,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,sometimes commonly referred to as the Parties,Parties,Parties,0.9916479587554932,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","ASHWORTH, INC.",Parties,Parties,0.9969057440757751,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Accordingly, except as otherwise expressly provided below, neither Nantz Communications nor Nantz shall assign any of their respective rights or delegate any of their respective duties or obligations under this Agreement without the written consent of the Company.",Anti-Assignment,Anti-Assignment,0.988440990447998,Anti-Assignment,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","As consideration for the rights granted and the services to be rendered hereunder, the Company hereby grants to Nantz options (the ""Options""), to purchase shares of the common stock of the Company par value $.001 per share (the ""Share""), which are exercisable as follows:",Revenue/Profit Sharing,Revenue/Profit Sharing,0.8466961979866028,Revenue/Profit Sharing,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",Ashworth,Parties,Parties,0.9961262345314026,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",Company,Parties,Parties,0.9958815574645996,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","During the Term, neither Nantz Communications nor Nantz shall enter into any activity, employment, independent contract, or other business arrangement which conflicts with Nantz Communications' or Nantz's obligations under this Agreement or perform any service which reasonably appears to be an endorsement of the sportswear apparel, hats and shoes of a third party without the Company's prior written approval.",Exclusivity,Non-Compete,0.9542421102523804,Non-Compete,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Except as otherwise provided herein, and subject to the Restrictions, Nantz Communications agrees that such Products may prominently bear the Company's logo and shall not bear any other logos.",Exclusivity,License Grant,0.9392528533935547,License Grant,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Except as otherwise provided herein, this Agreement shall commence effective June 1, 1998, and shall continue for a term of three (3) years expiring May 31, 2001 (the ""Term"").",Expiration Date,Expiration Date,0.6878791451454163,Expiration Date,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","In the event of the merger or consolidation of the Company with any other entity, Nantz Communications shall have the right to terminate the Agreement by so notifying the Company in writing on or before sixty (60) days",Change Of Control,Change Of Control,0.9866310954093933,Change Of Control,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",JAMES W. NANTZ III,Parties,Parties,0.9955417513847351,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","June 1, 1998",Effective Date,Effective Date,0.5426236987113953,LOW_CONFIDENCE,True
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","NANTZ COMMUNICATIONS, INC.",Parties,Parties,0.9969370365142822,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",Nantz,Parties,Parties,0.9967622756958008,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",Nantz Communications,Parties,Parties,0.9968223571777344,Parties,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Nantz Communications and Nantz expressly agree that the Endorsement will not be granted to anyone other than the Company for use during the Term in connection with the advertisement and promotion of sportswear apparel, hats and shoes.",Exclusivity,Exclusivity,0.9748843908309937,Exclusivity,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Nantz agrees to be available for up to four photography sessions (2 in Southern California during the week and 2 to be at Nantz's site locations or tournaments), two speaking engagements, and three store appearances each Contract Year, at times and places mutually convenient for Nantz and the Company but in no event at times which adversely impact on the schedules of Nantz Communications or Nantz.",Volume Restriction,Volume Restriction,0.9921078085899353,Volume Restriction,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",Notwithstanding the foregoing Nantz shall be permitted to wear a Lynx hat or clothing logo when performing promotional services for Lynx and to use Lynx equipment when performing any promotional services for the Company in which equipment will be used.,Competitive Restriction Exception,Competitive Restriction Exception,0.9770522117614746,Competitive Restriction Exception,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",PROMOTION AGREEMENT,Document Name,Document Name,0.9973474740982056,Document Name,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","Subject to the terms and conditions hereof, Nantz Communications grants to the Company the Endorsement throughout the world during the Term in connection with the advertisement, promotion and sale by the Company of Ashworth Products except in connection with Premium Programs.",License Grant,License Grant,0.9622792601585388,License Grant,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",The Company acknowledges that Nantz Communications' and Nantz's obligations to CBS or any other television station or network with which Nantz Communications or Nantz has a contract or arrangement shall take precedence over any other commitments of Nantz Communications or Nantz under this Agreement.,Most Favored Nation,Competitive Restriction Exception,0.45362138748168945,LOW_CONFIDENCE,True
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",The Company agrees that each photography session shall not exceed one and one-half days and each speaking engagement and store appearance shall not exceed one-half day.,Volume Restriction,Volume Restriction,0.9918832778930664,Volume Restriction,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","The Company agrees to provide and maintain, at its own expense, advertising and product liability insurance each with limits no less than $5,000,000 and within thirty (30) days from the date hereof, the Company will submit to Nantz Communications a fully paid policy or certificate of insurance naming Nantz Communications and Nantz as insured parties, requiring that the insurer shall not terminate or materially modify such without written notice to Nantz Communications at least twenty (20) days in advance thereof.",Insurance,Insurance,0.9967995882034302,Insurance,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","The Company further agrees to provide and maintain, at its own expense, a policy of Directors and Officers Insurance with limits no less than $25,000,000 and within thirty (30) days from the date hereof, the Company will submit to Nantz Communications a fully paid policy or certificate of insurance naming Nantz as an insured party, requiring that the insurer shall not terminate or materially modify such without written notice to Nantz Communications at least twenty (20) days in advance hereof",Insurance,Insurance,0.9967923760414124,Insurance,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","The rights granted the Company hereunder shall be used only by it and shall not, without the prior written consent of Nantz Communications or Nantz, be transferred or assigned to any other.",Anti-Assignment,Anti-Assignment,0.9849354028701782,Anti-Assignment,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","This Agreement and its formation, operation and performance shall be governed, construed, performed, and enforced in accordance with the laws of the State of California.",Governing Law,Governing Law,0.9974880218505859,Governing Law,False
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","after Nantz Communications has received notice of such merger or consolidation if and only if, by virtue of such merger or consolidation Nantz Communications or Nantz would be in default under or violating any provisions of any agreement to which he or it is subject entered into prior to June 1, 1994.",Change Of Control,Change Of Control,0.9860288500785828,Change Of Control,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,'the Customer',Parties,Parties,0.9957273006439209,Parties,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,'the Manufacturer',Parties,Parties,0.9962058067321777,Parties,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,15t h day of January 2018,Agreement Date,Agreement Date,0.5310576558113098,LOW_CONFIDENCE,True
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,AGAPE ATP INTERNATIONAL HOLDING LIMITED,Parties,Parties,0.9968611001968384,Parties,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Either parties voting stock is transferred to any third party to such extent as to result in a change in effective control of the company or its ownership or active management is changed in any other manner.,Change Of Control,Change Of Control,0.987637996673584,Change Of Control,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,If control of either party shall pass from the present shareholders or owners or controllers to other persons whom the other party shall in their absolute discretion regard as unsuitable.,Change Of Control,Change Of Control,0.9854846596717834,Change Of Control,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"Minimum Annual Product Performance Requirements are listed below: Product Name: Agreed Quantity of Units to be purchased per Annum: ATP 1 S Survivor Select 150gm packaged 15,000 ATP 2 Energized Mineral Concentrate 29.5mL packaged 20,000 ATP 3 Ionized Cal-Mag 114gm packaged 15,000 ATP 4 Omega Blend 250mL packaged 15,000 ATP 5 BetaMaxx 150gm packaged 15,000 AGP 1 Iron 29.5mL packaged 1000 YFA Young Formula 450gm packaged 3000 ORYC Organic Soap 150gm packaged 2500",Minimum Commitment,Minimum Commitment,0.980449378490448,Minimum Commitment,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,ODM SUPPLY AGREEMENT,Document Name,Document Name,0.9974170923233032,Document Name,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,ORGANIC PREPARATIONS INC.,Parties,Parties,0.996918797492981,Parties,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,On either party assigning or attempting to assign this agreement without the prior written consent of the other party.,Anti-Assignment,Anti-Assignment,0.9894307851791382,Anti-Assignment,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Customer may not freely transfer or assign its rights or obligations under this agreement without the prior written consent of the Manufacturer.,Anti-Assignment,Anti-Assignment,0.9890100359916687,Anti-Assignment,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Customer shall at all times during the term of this agreement maintain product liability insurance, covering all products sold by the Manufacturer to the Customer and which policy shall name the Manufacturer as Additional Insured.",Insurance,Insurance,0.9966720342636108,Insurance,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Customer shall inspect all Products promptly upon receipt thereof and may reject any defective Product, provided that the Customer shall within seven (7) days after receipt of such alleged defective Product, notify the Manufacturer of its rejection and either: (i) request to destroy in field for credit of the value of the defective product and the associated shipping costs (with approval), or (ii) request a Return Material Authorization (""RMA"") number and within seven (7) days of receipt of the RMA number from the Manufacturer return such rejected Product to the Manufacturer.",Warranty Duration,Warranty Duration,0.9923868179321289,Warranty Duration,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer agrees that the Customer has the right under this agreement to consider, source, promote, market and sell other product outside of the products listed in Schedule A of this agreement in line with the following assumptions: That they are non-competing products to the range of products or those products listed in schedule A of this agreement.",Non-Compete,Competitive Restriction Exception,0.8253752589225769,Competitive Restriction Exception,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer agrees to give the Customer exclusive rights to the marketing, promotion and sales of the new products should the Customer decide to take on the new products.",Exclusivity,Exclusivity,0.9789406657218933,Exclusivity,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Manufacturer agrees to maintain its focus on the design and formulation of new products and agrees to provide the Customer with one new product each quarter for a minimum of four (4) new products per year.,Minimum Commitment,Minimum Commitment,0.9903209805488586,Minimum Commitment,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,0.9823231101036072,Rofr/Rofo/Rofn,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer covenants not to sell any product listed in this agreement, or product name (as listed in schedule A of this agreement) to any other party without prior written consent of the Customer.",Exclusivity,Anti-Assignment,0.6114795804023743,Anti-Assignment,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.,Competitive Restriction Exception,Exclusivity,0.9067847728729248,Exclusivity,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer has appointed the Customer the copyright holder of both the English and the Chinese version of the book How to achieve Super Health beyond 2000 - Advanced Edition, authored by Frank D.P. Ellis and Dr. Michael Tait M.D.",Ip Ownership Assignment,License Grant,0.8079255819320679,License Grant,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.",Exclusivity,Exclusivity,0.9702829122543335,Exclusivity,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.,Anti-Assignment,Anti-Assignment,0.9889879822731018,Anti-Assignment,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturing Companies utilised by the Agent to manufacture the products listed in Schedule A of this agreement shall maintain throughout the term of this agreement product liability insurance issued by a reputable insurance company under standard terms and conditions in the industry to cover the liability of the Customer and to indemnity the Customer from any costs, expenses, loss or damages resulting from any act, neglect or default of the company.",Insurance,Insurance,0.9967617988586426,Insurance,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,This agreement commences upon execution of this document.,Effective Date,Effective Date,0.9426905512809753,Effective Date,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,This agreement is for a term of ten (10) years.,Expiration Date,Expiration Date,0.9763379693031311,Expiration Date,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,This agreement shall be governed by the Laws of England (English common and statutory Law).,Governing Law,Governing Law,0.9975244402885437,Governing Law,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term.",Renewal Term,Renewal Term,0.9787271618843079,Renewal Term,False
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term. A six (6) months notice must be given by either party of their intention to terminate relations due to any reason other than breach of this agreement.",Notice Period To Terminate Renewal,Notice Period To Terminate Renewal,0.9829549193382263,Notice Period To Terminate Renewal,False
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"""Arizona Licensed Copyrights"" means all Copyrights owned by Licensing or Seller or their respective Affiliates, as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Copyrights).",Affiliate License-Licensor,Affiliate License-Licensor,0.9289223551750183,Affiliate License-Licensor,False
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"""Arizona Licensed Know-How"" means all Know-How owned by Licensing or Seller or their respective Affiliates, as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Know- How).",Affiliate License-Licensor,Affiliate License-Licensor,0.9286820888519287,Affiliate License-Licensor,False
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"""Arizona Licensed Patents"" means the Patents set forth on Schedule 1.1(l) and all other Patents owned by Licensing or Seller or their respective Affiliates as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Patents).",Affiliate License-Licensor,Affiliate License-Licensor,0.9346505999565125,Affiliate License-Licensor,False
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"""Company Licensed Copyrights"" means all Copyrights and registrations and applications for any of the foregoing owned by any Company Entity as of the Effective Date and used or held for use in the Arizona Field as of the Effective Date.",Affiliate License-Licensor,Affiliate License-Licensor,0.8561090230941772,Affiliate License-Licensor,False
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"""Company Licensed Know-How"" means all Know-How owned by any Company Entity as of the Effective Date and used or held for use in the Arizona Field as of the Effective Date.",Affiliate License-Licensor,Affiliate License-Licensor,0.6950249671936035,Affiliate License-Licensor,False
