contract,clause_text,label,predicted_label,confidence
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,"The Manufacturer has appointed the Customer the copyright holder of both the English and the Chinese version of the book How to achieve Super Health beyond 2000 - Advanced Edition, authored by Frank D.P. Ellis and Dr. Michael Tait M.D.",Ip Ownership Assignment,License Grant,0.8079255819320679
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non- exclusive, royalty-free license in, to and under the Arizona Licensed Copyrights for use in the Company Field throughout the world.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.9663898348808289
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non- exclusive, royalty-free license in, to and under the Arizona Licensed Know-How for use in the Company Field throughout the world.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.9636484384536743
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non-exclusive, royalty-free license in, to and under the Arizona Licensed Patents for use in the Company Field throughout the world.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.9657007455825806
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non- exclusive, royalty-free license in, to and under the Company Licensed Copyrights for use in the Arizona Field throughout the world.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.9659653306007385
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non- exclusive, royalty-free license in, to and under the Company Licensed Know-How for use in the Arizona Field throughout the world.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.9646257162094116
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","Accordingly, (i) with respect to RemainCo's right and interest in and to the Foundational Software, RemainCo, for itself and as representative of all other members of the RemainCo Group, hereby grants to SpinCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the SpinCo Business and any future extensions of the SpinCo Business in the SpinCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the SpinCo Business and any future extensions of the SpinCo Business in any field other than the SpinCo Core Field or the RemainCo Core Field; and (ii) with respect to SpinCo's right and interest in and to the Foundational Software, SpinCo, for itself and as representative of all other members",Irrevocable Or Perpetual License,Affiliate License-Licensor,0.49417153000831604
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","Accordingly, (i) with respect to RemainCo's right and interest in and to the Shared Library Materials, RemainCo, for itself and as representative of all other members of the RemainCo Group, hereby grants to SpinCo (x) a perpetual (subject to Section 4.4), irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Shared Library Materials, including all Know-How and Copyrights embodied therein, for any purpose in the SpinCo Core Field and (y) a perpetual (subject to Section 4.4), irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Shared Library Materials, including all Know-How and Copyrights embodied therein, for any purpose in any field other than the RemainCo Core Field or the SpinCo Core Field and (ii) with respect to SpinCo's right and interest in and to the Shared Library Materials, SpinCo, for itself and as representative of all other members of the SpinCo Group, hereby grants to RemainCo (x) a perpetual (subject to Section 4.4), irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Shared Library Materials, including all Know-How and Copyrights embodied therein, for any purpose in the RemainCo Core Field and (y) a perpetual (subject to Section 4.4), irrevocable, non- exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Shared Library Materials, including all Know-How and Copyrights embodied therein, for any purpose in any field other than the SpinCo Core Field or the RemainCo Core Field.",Affiliate License-Licensor,Irrevocable Or Perpetual License,0.5478053092956543
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","June 26, 2015",Effective Date,Agreement Date,0.5490379929542542
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","RemainCo (i) shall not use or exploit the Licensed RemainCo Intellectual Property in the SpinCo Core Field and (ii) shall not, and shall not permit any member of the RemainCo Group to, license, provide or otherwise grant to any Third Party the right to use, exploit or access any Licensed RemainCo Intellectual Property in the SpinCo Core Field.",License Grant,Affiliate License-Licensor,0.3596399128437042
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",RemainCo shall have the right to use the SpinCo House Marks in connection with the operation of the RemainCo Business for a limited period of 270 days following the Distribution Date.,License Grant,Post-Termination Services,0.8433011174201965
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","RemainCo shall have, and SpinCo hereby grants to RemainCo, an unlimited, non-exclusive, perpetual, irrevocable, royalty free, worldwide right and license to use the content contained in the Steam Book, including the current edition and any past edition and any future edition to which RemainCo makes a contribution, for any purpose, including, without limitation, to reproduce, publicly display, modify, make derivative works, distribute, publicly perform and distribute for RemainCo's internal business purposes, including in connection with customer related activities, provided, however, that RemainCo shall (i) not use any non-nuclear content contained in the Steam Book in connection with publishing or distributing a publication which competes with the Steam Book and (ii) provide attribution and accreditation using a copyright notice having the format required by law in connection with the use of any protectable expression of the non-nuclear content contained in the Steam Book",Irrevocable Or Perpetual License,Unlimited/All-You-Can-Eat-License,0.7565645575523376
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","SpinCo (i) shall not use or exploit the Licensed SpinCo Intellectual Property in the RemainCo Core Field and (ii) shall not, and shall not permit any member of the SpinCo Group to, license, provide or otherwise grant to any Third Party the right to use, exploit or access any Licensed SpinCo Intellectual Property in the RemainCo Core Field.",License Grant,Affiliate License-Licensor,0.6883041858673096
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","SpinCo and RemainCo agree and acknowledge that, although RemainCo was responsible for publishing the current forty-second (42nd) edition of the Steam Book, as of the Distribution Date, all rights, responsibilities, duties and obligations related to the publication, distribution and sale of this edition shall be transferred to SpinCo.",Ip Ownership Assignment,Post-Termination Services,0.9591368436813354
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","The foregoing right of first refusal shall cease in the event of a Change of Control of either RemainCo or SpinCo, provided, however, that the Parties will discuss the feasibility of future collaboration, specifically related to the contribution of nuclear related subject matter by RemainCo, in good faith in the event of a Change of Control.",Change Of Control,Rofr/Rofo/Rofn,0.8418651819229126
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","of the SpinCo Group, hereby grants to RemainCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in the RemainCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license to use the Foundational Software, including any Intellectual Property embodied therein, for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in any field other than the SpinCo Core Field or the RemainCo Core Field.",License Grant,Irrevocable Or Perpetual License,0.7806420922279358
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,"July 5, 2011",Effective Date,Agreement Date,0.5311052799224854
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","May 14, 2014",Effective Date,Agreement Date,0.5775651931762695
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"B. Upon our demand, you will assign to us your interest in any lease then in effect for the Franchised Restaurant premises.",Post-Termination Services,Ip Ownership Assignment,0.9140034914016724
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"If you propose to offer for sale at the Franchised Restaurant any brand of product, or to use in the operation of the Franchised Restaurant any brand of food ingredient or other material or supply which is not then approved by us as meeting its minimum specifications and quality standards, or to purchase any product from a supplier that is not then designated by us as an approved supplier, you must first notify us and shall upon our request submit samples and such other information as we require for examination and/or testing or to otherwise determine whether such product, material or supply, or such proposed supplier meets its specifications and quality standards.",Exclusivity,Rofr/Rofo/Rofn,0.40253981947898865
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"In the event of your death or incapacity, or the death or incapacity of any partner, any shareholder owning fifty percent (50%) or more of your capital stock, or any Member who owns a majority interest in a limited liability company, the heirs, beneficiaries, devisees, or legal representatives of said individual, partner or shareholders shall, within one hundred eighty (180) days of such event: 1. Apply to us for the right to continue to operate the franchise for the duration of the term of this Agreement and any renewals hereof, which right shall be granted upon the fulfillment of all of the conditions set forth in Paragraph XVIII. of this Agreement (except that no transfer fee shall be required); or 2. Sell, assign, transfer, or convey your interest in compliance with the provisions of Paragraphs XVIII and XX of this Agreement; provided, however, in the event a proper and timely application for the right to continue to operate has been made and rejected, the one hundred eighty (180) days to sell, assign, transfer or convey shall be computed from the date of said rejection. For purposes of this Paragraph, our silence on an application made pursuant to Paragraph XIX.A.1. through the one hundred and eighty (180) days following the event of death or incapacity shall be deemed a rejection made on the last day of such period.",Change Of Control,Post-Termination Services,0.6784325242042542
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"K. We will have the right (but not the duty), to be exercised by notice of intent to do so within sixty (60) days after termination or expiration, to purchase for cash any or all assets of the Franchised Restaurant, including leasehold improvements, equipment, supplies, and other inventory, advertising materials, and all items bearing the Marks, at your cost or fair market value, whichever is less.",Post-Termination Services,Rofr/Rofo/Rofn,0.8618150949478149
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,We reserve the right to market and sell Menu Items and Trade Secret Food Products on the Internet/World Wide Web.,Competitive Restriction Exception,License Grant,0.9526857137680054
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,We shall have no obligation to enforce similar covenants against any other System franchisee.,Competitive Restriction Exception,Covenant Not To Sue,0.23492874205112457
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You (and your shareholders, partners and members) will not directly or indirectly make a Transfer without our prior written consent.",Anti-Assignment,Change Of Control,0.7770091891288757
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You covenant that during the term of this Agreement, except as otherwise approved in writing by us, you will not, either directly or indirectly, for yourself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation or company:",No-Solicit Of Employees,No-Solicit Of Customers,0.9764599204063416
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,You pay us a nonrefundable Initial Franchise Fee of ________________ _______________________ Dollars ($________) which is payable in full on the date of this Agreement.,Liquidated Damages,Revenue/Profit Sharing,0.6850939393043518
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,You receive a Designated Area within which we and our affiliates shall not operate or grant to anyone else a franchise to operate a Buffalo Wild Wings or bw-3 Restaurant so long as this Agreement is in force and effect.,Exclusivity,Non-Compete,0.5377696752548218
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,You shall not offer for sale any Menu Items or Proprietary Products by means of Internet/World Wide Web programming or advertising.,Non-Compete,Exclusivity,0.5943976640701294
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You specifically acknowledge that our designated representative may take over, control, and operate the Franchised Restaurant, and that you will pay us a service fee of not less than TWO HUNDRED Dollars ($200) per day plus all travel expenses, room and board and other expenses reasonably incurred by such representative so long as it shall be required by the representative to enforce compliance herewith.",Liquidated Damages,Minimum Commitment,0.8320479989051819
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You will take such action as may be necessary to cancel or assign to us or our designee, at our option, any assumed name rights or equivalent registration filed with state, city, or county authorities which contains the name ""Buffalo Wild Wings,"" ""bw-3"" or any Mark, and you will furnish us with evidence satisfactory to us of compliance with this obligation within thirty (30) days after termination or expiration of this Agreement.",Ip Ownership Assignment,Post-Termination Services,0.6515825390815735
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"non-food products, beverages, and other items, products, delivery vehicles, products and supplies for test of content and evaluation purposes to make certain that the Menu Items, ingredients, food and non-food products, beverages and other items, products, delivery vehicles, materials and supplies are satisfactory and meet our quality control provisions and performance standards.",Audit Rights,Other,0.6200172305107117
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"It being understood and agreed that Bizzingo shall have the right to exhibit commercials, infomercials, advertisements and otherwise make use of all Property on a worldwide basis and that Bizzingo and its affiliates shall be the sole owner of all commercials, promotional materials and other items produced or created hereunder and all related rights worldwide, including, without limitation, copyright, trademark and intellectual property rights, subject however to the terms and conditions herein.",License Grant,Ip Ownership Assignment,0.7701894640922546
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"Notwithstanding the foregoing, during the term and for a period of one (1) year thereafter, Theismann shall not use, permit the use of, or license to others the Property in connection with the advertisement, promotion, and sale of any network or Internet service, including but limited to all computer/video games, CD-ROMs, and/or interactive video of any form, except for a pre-existing license by Theismann.",Exclusivity,License Grant,0.7721865177154541
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"Subject to the terms and conditions set forth herein, Theismann hereby grants to Bizzingo and its affiliates the unlimited right and privilege during the Term (as defined herein) and within the Territory to use the Property (as defined herein) in connection with the advertisement, promotion, and sale of the Network in the Territory whether through film, television, radio, print and Internet media, including the right to use the Property in or on the Network",Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,0.9695740342140198
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"Theismann represents and warrants that, except as otherwise disclosed herein, he has not granted nor will he grant during the Term and for a period of one (1) year thereafter to any other party any right, permission, or license to use the Property in connection with the advertisement, sale, or promotion of the Network or in connection with networks that are identical or substantially similar to the Network.",Exclusivity,Non-Compete,0.8987939953804016
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written addendum of the Agreement extending such term.",Renewal Term,Expiration Date,0.8137605786323547
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,"7th day of April, 2017",Effective Date,Agreement Date,0.5144756436347961
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,"During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.",Exclusivity,No-Solicit Of Customers,0.9807297587394714
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"(c) Customer's exclusive remedy and Changepoint's sole obligation with respect to the breach of any of the foregoing warranties is for Changepoint to (i) make commercially reasonable efforts to correct or provide Customer with a workaround for the failure of the Licensed Software to conform substantially to the description thereof in the Documentation or to comply with the Y2K Warranty, as the case may be, or, at Changepoint's sole option, provide Customer with a refund for the License Fees paid with respect to such Licensed Software, and (ii) provide Customer with replacement media in the event there are defects in materials or workmanship in the media upon which the Licensed Software and Documentation are provided if the media is returned to Changepoint within the Warranty Period.",Cap On Liability,Other,0.8869810104370117
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"ACTION FIRST ARISING, EVEN IF IT IS A CONTINUOUS ONE, OR IN THE AGGREGATE, WITH RESPECT OF ALL CLAIMS ARISING OUT OF OR RELATED TO THIS AGREEMENT, THE TOTAL AMOUNT ACTUALLY PAID BY CORIO UNDER THIS AGREEMENT TO CHANGEPOINT.",Uncapped Liability,Cap On Liability,0.9763436317443848
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Changepoint grants to Corio a nonexclusive, nontransferable (except in",License Grant,Non-Transferable License,0.9731699228286743
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Changepoint will replace any defective media returned to Changepoint during the Warranty Period. In the event any such breach of warranty can not be reasonably corrected at Changepoint's sole expense, Corio has the right to terminate this Agreement and receive a",Cap On Liability,Warranty Duration,0.9903479814529419
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"December 13, 1999",Effective Date,Agreement Date,0.5594358444213867
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"FOR ANY BREACH OR DEFAULT BY CHANGEPOINT OF ANY OF THE PROVISIONS OF THIS AGREEMENT, OR WITH RESPECT TO ANY CLAIM ARISING HEREFROM OR RELATED HERETO, EXCEPT FOR ANY CLAIM FOR BREACH OF SECTION 5.2 (UNAUTHORIZED DISCLOSURE OF CONFIDENTIAL INFORMATION), OR FOR BREACH OF SECTION 6.4(A) (INTELLECTUAL PROPERTY INDEMNITY), CHANGEPOINT'S ENTIRE LIABILITY, REGARDLESS OF THE FORM OF ACTION, WHETHER BASED ON CONTRACT OR TORT, INCLUDING 32 NEGLIGENCE, SHALL IN NO EVENT EXCEED (I) THE AMOUNT PAID BY CUSTOMER HEREUNDER FOR THE LICENSED MATERIALS, (II) THE AMOUNT PAID BY CUSTOMER FOR THE MAINTENANCE SERVICE THAT IS THE SUBJECT OF THE CLAIM IF THE CLAIM RELATES TO A BREACH OR DEFAULT BY CHANGEPOINT OF THE PROVISIONS OF ARTICLE 7, (III) THE AMOUNT PAID BY CUSTOMER FOR THE INSTALLATION SERVICE THAT IS THE SUBJECT OF THE CLAIM IF THE CLAIM RELATES TO A BREACH OR DEFAULT BY CHANGEPOINT OF THE PROVISIONS OF THIS AGREEMENT PERTAINING TO INSTALLATION SERVICE, OR (IV) IN THE AGGREGATE WITH RESPECT TO ALL CLAIMS UNDER OR RELATED TO THIS AGREEMENT, THE AMOUNT PAID BY CUSTOMER UNDER THIS AGREEMENT.",Cap On Liability,Uncapped Liability,0.9543209671974182
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Should the Licensed Materials or any of them become, or in Changepoint's sole opinion be likely to become, the subject of a claim of infringement, misappropriation, or violation of an Intellectual Property Right (an ""Infringement Claim"") Changepoint may (i) procure for Customer, at no cost to Customer the right to continue to use the Licensed Materials which are the subject of the Infringement Claim (ii) replace or modify the Licensed Materials or part thereof subject to such Infringement Claim with software or documentation of at least comparable functionality, at no cost to Customer, or (iii) if neither of the forgoing alternatives are reasonably practical in Changepoint's sole judgement, remove the component that is the subject of the Infringement Claim or any or all other parts of the Licensed Materials and refund to Customer the License Fees paid by Customer for the part removed as depreciated on a straight line five (5) year basis from the date of delivery of the part to Customer.",Cap On Liability,Post-Termination Services,0.9284770488739014
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Software Support and Maintenance shall automatically continue during the term of this Agreement and thereafter for the remaining term of any contracts Corio has with its Customers to continue providing the Corio Services, provided that Corio continues to pay the revenue sharing fees as provided in EXHIBIT B hereto.",Revenue/Profit Sharing,Post-Termination Services,0.8861170411109924
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Subject to the terms and conditions of this Agreement, Changepoint hereby grants to Corio a fee-bearing, irrevocable, nonexclusive, nontransferable (except in accordance with Section 14.1 of this Agreement) license in the Territory to (i) reproduce the Software in machine executable object code format only for installation on the Corio Servers; (ii) install multiple copies of the Software on Corio's Servers which will be made remotely accessible to Corio's Customers for their internal business purposes, (iii) permit limited access to and use of the Software by Customers through Corio Servers solely for such Customer's internal business purposes; (iv) sublicense an unlimited number of Customers to access and use the Software only through the installation on Corio Servers solely for such Customer's internal business purposes; and (v) use Changepoint's tools and utilities, if any, subject to any restrictions placed on the Changepoint by third party software providers and payment of any applicable fees required by such third parties, to configure, integrate and manage the Software.",Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,0.9167085289955139
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Subject to the terms and conditions of this Agreement, Changepoint hereby grants to Corio a fee-bearing, irrevocable, nonexclusive, nontransferable (except in accordance with Section 14.1 of this Agreement) license in the Territory to (i) reproduce the Software in machine executable object code format only for installation on the Corio Servers; (ii) install multiple copies of the Software on Corio's Servers which will be made remotely accessible to Corio's Customers for their internal business purposes, (iii) permit limited access to and use of the Software by Customers through Corio Servers solely for such Customer's internal business purposes; (iv) sublicense an unlimited number of Customers to access and use the Software only through the installation on Corio Servers solely for such Customer's internal business purposes; and (v) use Changepoint's tools and utilities, if any, subject to any restrictions placed on the Changepoint by third party software providers and payment of any applicable fees required by such third parties, to configure, integrate and manage the Software. Corio shall not authorize Customers to download or reproduce the Software for use except as necessary in connection with the Corio Services.",License Grant,Irrevocable Or Perpetual License,0.910900354385376
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,This,Source Code Escrow,Agreement Date,0.48025035858154297
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,This Agreement shall be effective on the Effective Date and shall terminate in accordance with this Article.,Effective Date,Expiration Date,0.935931384563446
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Upon the release of the Source Code to Corio pursuant to Section 12.2 of this Agreement, Corio shall have a royalty-free, nonexclusive, nontransferable, right and license at its head office to use and modify the Source Code to support and maintain the Software until the expiration or termination of Corio's Customers' License Agreements for the Corio Services.",Non-Transferable License,Source Code Escrow,0.9914643168449402
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT","May 18, 2010",Effective Date,Agreement Date,0.5405333638191223
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",not be unreasonably withheld.,Anti-Assignment,Other,0.41391053795814514
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,"March 20, 2020",Effective Date,Agreement Date,0.5351245999336243
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT","15 April, 2009",Effective Date,Agreement Date,0.5420099496841431
